name,waves,weathers,winds
東京地方,"['０．５メートル', '０．５メートル\u3000後\u3000１メートル', '１メートル']","['晴れ\u3000夜のはじめ頃\u3000くもり', 'くもり\u3000夜\u3000雨', '雨\u3000後\u3000くもり']","['南東の風', '南の風\u3000２３区西部\u3000では\u3000後\u3000南の風\u3000やや強く', '南の風\u3000やや強く']"
伊豆諸島北部,"['１．５メートル\u3000ただし\u3000新島\u3000では\u3000２メートル\u3000後\u3000１．５メートル', '１．５メートル\u3000後\u3000２メートル', '２．５メートル\u3000後\u3000３メートル']","['くもり\u3000夜のはじめ頃\u3000晴れ', 'くもり\u3000夜\u3000雨', 'くもり\u3000時々\u3000雨']","['東の風\u3000新島\u3000では\u3000はじめ\u3000東の風\u3000やや強く', '東の風\u3000後\u3000南の風\u3000やや強く', '南の風\u3000やや強く\u3000後\u3000南西の風\u3000強く']"
伊豆諸島南部,"['２メートル', '２メートル\u3000後\u3000２．５メートル\u3000ただし\u3000三宅島\u3000では\u3000１．５メートル\u3000後\u3000２．５メートル', '２．５メートル\u3000後\u3000３メートル']","['くもり\u3000夜のはじめ頃\u3000晴れ\u3000所により\u3000夜のはじめ頃\u3000まで\u3000雨', 'くもり\u3000夜\u3000雨', 'くもり\u3000時々\u3000雨']","['東の風\u3000やや強く', '東の風\u3000後\u3000南の風\u3000やや強く', '南の風\u3000やや強く\u3000後\u3000南西の風\u3000強く']"
小笠原諸島,"['１．５メートル', '１．５メートル\u3000後\u3000２メートル', '２メートル\u3000後\u3000１．５メートル']","['くもり\u3000所により\u3000雨', 'くもり\u3000時々\u3000晴れ', '晴れ\u3000時々\u3000くもり']","['北東の風', '東の風', '東の風\u3000後\u3000南の風']"
東京地方,,,
伊豆諸島北部,,,
伊豆諸島南部,,,
小笠原諸島,,,
東京,,,
大島,,,
八丈島,,,
父島,,,
東京地方,,,
伊豆諸島,,,
小笠原諸島,,,
東京,,,
八丈島,,,
父島,,,
